ip,urllenth,subdomainlength,lenghtratio,shortened,@,//,-,subdomains,other suffix,URL Entropy,Nan_entropy,tld,httpsurl,suspiciouswordcount,freehosting,websitetraffic,statisticalreport,Result
1,-0.45,-0.26,-1.73,1,0,1,0,-1,1,-0.84,-3.78,0,1,0,1,1,1,1
1,-0.6,-0.4,-1.5,1,0,1,0,0,1,-0.85,-3.57,-0.48,1,0,1,-1,1,1
1,-0.73,-0.59,-1.24,1,0,1,-1,-1,1,-0.92,-6.01,0,1,0,1,1,1,1
1,-0.54,-0.36,-1.5,1,0,1,-1,0,1,-0.87,-4.48,-0.48,1,0,1,-1,1,1
1,-0.62,-0.47,-1.32,1,0,1,0,0,1,-0.83,-4.08,-0.48,1,0,1,1,1,1
1,-0.46,-0.25,-1.84,1,0,1,0,-2,1,-0.85,-3.76,-0.48,1,0,1,1,1,1
1,-0.38,-0.22,-1.73,1,0,1,0,-2,1,-0.79,-4.05,0,1,0,1,1,1,1
1,-0.33,-0.21,-1.57,1,0,1,0,-1,1,-0.77,-3.06,-0.32,1,0,1,1,1,1
1,-0.43,-0.24,-1.79,1,0,1,0,0,1,-0.8,-3.57,-0.48,1,0,1,-1,1,1
1,-0.28,-0.21,-1.33,1,0,1,0,0,1,-0.76,-3.08,0,1,0,1,-1,1,1
1,-0.4,-0.26,-1.54,1,0,1,0,0,1,-0.84,-3.57,-0.48,1,0,1,-1,1,1
1,-0.39,-0.25,-1.56,1,0,1,0,0,1,-0.84,-3.57,-0.48,1,0,1,-1,1,1
1,-0.41,-0.28,-1.46,1,0,1,0,0,1,-0.77,-3.57,-0.48,1,0,1,-1,1,1
1,-0.36,-0.2,-1.8,1,0,1,0,-1,1,-0.87,-3.06,-0.48,1,0,1,1,1,1
1,-0.36,-0.25,-1.44,1,0,1,0,0,1,-0.83,-3.57,-0.15,1,0,1,-1,1,1
1,-0.44,-0.31,-1.42,1,0,1,0,0,1,-0.8,-3.57,-0.48,1,0,1,-1,1,1
1,-0.49,-0.28,-1.75,1,0,1,0,-1,1,-0.87,-3.57,-0.48,1,0,1,1,1,1
1,-0.44,-0.29,-1.52,1,0,1,0,-1,1,-0.82,-3.57,0,1,0,1,1,1,1
1,-0.45,-0.35,-1.29,1,0,1,0,0,1,-0.85,-4.14,-0.48,1,0,1,1,1,1
1,-0.59,-0.44,-1.34,1,0,1,0,0,1,-0.87,-4.59,-0.48,1,0,1,1,1,1
1,-0.42,-0.2,-2.1,1,0,1,0,-1,1,-0.84,-3.27,-0.48,1,0,1,1,1,1
1,-0.34,-0.19,-1.79,1,0,1,0,-1,1,-0.83,-3.06,-0.09,1,0,1,1,1,1
1,-0.52,-0.32,-1.63,1,0,1,-1,-1,1,-0.86,-4.53,0,1,0,1,1,1,1
1,-0.42,-0.28,-1.5,1,0,1,0,0,1,-0.81,-3.78,-0.48,1,0,1,-1,1,1
1,-0.56,-0.38,-1.47,1,0,1,0,0,1,-0.83,-3.78,-0.48,1,0,1,-1,1,1
1,-0.43,-0.33,-1.3,1,0,1,0,-1,1,-0.79,-3.62,-0.45,1,0,1,1,1,1
1,-0.47,-0.29,-1.62,1,0,1,0,0,1,-0.78,-3.06,-0.48,1,0,1,-1,1,1
1,-0.56,-0.4,-1.4,1,0,1,0,-1,1,-0.86,-4.35,-0.48,1,0,1,1,1,1
1,-0.44,-0.31,-1.42,1,0,1,0,-1,1,-0.8,-4.08,-0.02,1,0,1,1,1,1
1,-0.5,-0.29,-1.72,1,0,1,0,-1,1,-0.8,-3.06,-0.48,1,0,1,1,1,1
1,-0.49,-0.31,-1.58,1,0,1,0,-1,1,-0.81,-4.27,-0.01,1,0,1,1,1,1
1,-0.5,-0.26,-1.92,1,0,1,0,-1,1,-0.77,-3.06,-0.48,1,0,1,1,1,1
1,-0.46,-0.34,-1.35,1,0,1,0,0,1,-0.83,-3.08,-0.48,1,0,1,1,1,1
1,-0.44,-0.28,-1.57,1,0,1,0,-1,1,-0.8,-3.57,-0.48,1,0,1,1,1,1
1,-0.34,-0.24,-1.42,1,0,1,0,0,1,-0.81,-3.57,-0.48,1,0,1,-1,1,1
1,-0.57,-0.4,-1.43,1,0,1,0,0,1,-0.86,-4.59,-0.48,1,0,1,1,1,1
1,-0.34,-0.22,-1.55,1,0,1,0,0,1,-0.77,-2.57,-0.48,1,0,1,-1,1,1
1,-0.39,-0.2,-1.95,1,0,1,0,-1,1,-0.78,-3.06,-0.48,1,0,1,1,1,1
1,-0.37,-0.21,-1.76,1,0,1,0,0,1,-0.81,-3.06,-0.45,1,0,1,-1,1,1
1,-0.74,-0.64,-1.16,1,0,1,0,0,1,-0.85,-5.1,0,1,0,1,1,1,1
1,-0.43,-0.27,-1.59,1,0,1,0,0,1,-0.85,-3.54,-0.48,1,0,1,-1,1,1
1,-0.33,-0.19,-1.74,1,0,1,0,0,1,-0.78,-3.06,-0.48,1,0,1,-1,1,1
1,-0.42,-0.27,-1.56,1,0,1,0,0,1,-0.84,-3.57,-0.45,1,0,1,-1,1,1
1,-0.34,-0.22,-1.55,1,0,1,-1,0,1,-0.82,-3.45,-0.18,1,0,1,-1,1,1
1,-0.42,-0.22,-1.91,1,0,1,-1,0,1,-0.81,-3.45,-0.48,1,0,1,-1,1,1
1,-0.77,-0.6,-1.28,1,0,1,0,0,1,-0.92,-5.68,-0.02,1,0,1,-1,1,1
1,-0.45,-0.3,-1.5,1,0,1,0,0,1,-0.81,-4.11,-0.45,1,-1,1,1,1,1
1,-0.44,-0.25,-1.76,1,0,1,0,-1,1,-0.81,-3.06,-0.48,1,0,1,1,1,1
1,-0.46,-0.29,-1.59,1,0,1,0,0,1,-0.82,-3.57,-0.48,1,0,1,1,1,1
1,-0.37,-0.19,-1.95,1,0,1,0,-1,1,-0.76,-3.06,-0.48,1,0,1,1,1,1
1,-0.47,-0.22,-2.14,1,0,1,0,-1,1,-0.83,-3.06,-0.48,1,0,1,1,1,1
1,-0.36,-0.2,-1.8,1,0,1,0,0,1,-0.81,-3.06,-0.48,1,0,1,-1,1,1
1,-0.47,-0.32,-1.47,1,0,1,0,-1,1,-0.81,-3.78,-0.02,1,0,1,1,1,1
1,-0.45,-0.29,-1.55,1,0,1,0,0,1,-0.83,-3.57,-0.48,1,0,1,-1,1,1
1,-0.5,-0.3,-1.67,1,0,1,0,-1,1,-0.84,-4.11,-0.48,1,0,1,1,1,1
1,-0.31,-0.2,-1.55,1,0,1,0,0,1,-0.8,-3.06,-0.5,1,0,1,-1,1,1
1,-0.53,-0.31,-1.71,1,0,1,0,-1,1,-0.83,-3.78,-0.48,1,0,1,1,1,1
1,-0.5,-0.36,-1.39,1,0,1,0,0,1,-0.84,-3.57,-0.48,1,0,1,1,1,1
1,-0.4,-0.26,-1.54,1,0,1,0,0,1,-0.71,-3.57,-0.48,1,0,1,-1,1,1
1,-0.62,-0.51,-1.22,1,0,1,0,-1,1,-0.81,-5.1,-0.02,1,0,1,1,1,1
1,-0.37,-0.19,-1.95,1,0,1,0,-1,1,-0.81,-3.06,-0.48,1,0,1,1,1,1
1,-0.51,-0.32,-1.59,1,0,1,0,-1,1,-0.79,-3.57,-0.48,1,0,1,1,1,1
1,-0.43,-0.24,-1.79,1,0,1,0,-1,1,-0.84,-3.27,-0.48,1,0,1,1,1,1
1,-0.41,-0.29,-1.41,1,0,1,0,0,1,-0.84,-3.57,-0.48,1,0,1,-1,1,1
