IPinURL,length,shortened,at_symbol,redirect_slashes,prefsuf,subdomain,tld,https_domain,website_traffic,statistical_report,certificate,domain_age,reg_length,Result
1.0,-0.67,1.0,1.0,1.0,1.0,-3.0,-0.39,1.0,-1.0,1.0,1.0,0.004,0.361,-1
1.0,-0.98,1.0,1.0,1.0,1.0,-1.0,-0.48,1.0,-1.0,1.0,1.0,0.233,0.133,-1
1.0,-0.67,1.0,1.0,1.0,1.0,-3.0,-0.39,1.0,-1.0,1.0,1.0,0.004,0.361,-1
1.0,-0.67,1.0,1.0,1.0,1.0,-3.0,-0.39,1.0,-1.0,1.0,1.0,0.004,0.361,-1
1.0,-0.36,1.0,1.0,1.0,1.0,-1.0,-0.48,1.0,1.0,1.0,1.0,7.226,0.079,-1
1.0,-0.38,1.0,1.0,1.0,1.0,-1.0,-0.48,1.0,1.0,1.0,1.0,7.226,0.079,-1
1.0,-0.67,1.0,1.0,1.0,1.0,-3.0,-0.39,1.0,-1.0,1.0,-1.0,0.004,0.361,-1
1.0,-0.67,1.0,1.0,1.0,1.0,-3.0,-0.39,1.0,-1.0,1.0,1.0,0.004,0.361,-1
1.0,-0.67,1.0,1.0,1.0,1.0,-3.0,-0.39,1.0,-1.0,1.0,1.0,0.18,0.365,-1
1.0,-0.67,1.0,1.0,1.0,1.0,-3.0,-0.39,1.0,-1.0,1.0,1.0,0.18,0.365,-1
1.0,-0.67,1.0,1.0,1.0,1.0,-3.0,-0.39,1.0,-1.0,1.0,1.0,0.18,0.365,-1
1.0,-1.15,1.0,1.0,1.0,1.0,-1.0,-0.48,1.0,-1.0,1.0,-1.0,0.518,0.213,-1
1.0,-0.76,1.0,1.0,1.0,1.0,-1.0,-0.48,1.0,-1.0,1.0,-1.0,0.518,0.213,-1
1.0,-0.55,1.0,1.0,1.0,1.0,0.0,-0.48,1.0,-1.0,1.0,-1.0,2.995,0.292,-1
1.0,-0.32,1.0,1.0,1.0,1.0,0.0,-0.39,1.0,-1.0,1.0,-1.0,0.18,0.365,-1
1.0,-0.38,1.0,1.0,1.0,1.0,0.0,-0.48,1.0,-1.0,1.0,-1.0,0.004,0.361,-1
1.0,-0.68,1.0,1.0,1.0,1.0,0.0,-0.48,1.0,-1.0,1.0,-1.0,3.269,0.019,-1
1.0,-0.28,1.0,1.0,1.0,1.0,0.0,-0.48,1.0,-1.0,1.0,-1.0,0.004,0.361,-1
1.0,-0.3,1.0,1.0,1.0,1.0,-1.0,-0.48,1.0,1.0,1.0,1.0,7.226,0.079,-1
1.0,-0.32,1.0,1.0,1.0,1.0,-1.0,-0.48,1.0,1.0,1.0,1.0,0.18,0.365,-1
1.0,-0.39,1.0,1.0,1.0,1.0,0.0,-0.39,1.0,-1.0,1.0,-1.0,0.05,0.316,-1
1.0,-0.38,1.0,1.0,1.0,1.0,0.0,-0.39,1.0,-1.0,1.0,-1.0,0.05,0.316,-1
1.0,-0.3,1.0,1.0,1.0,1.0,0.0,-0.42,1.0,-1.0,1.0,-1.0,0.18,0.365,-1
1.0,-0.29,1.0,1.0,1.0,1.0,0.0,-7.7,1.0,-1.0,1.0,-1.0,0.005,0.36,-1
1.0,-0.78,1.0,1.0,1.0,1.0,0.0,-0.48,1.0,-1.0,1.0,1.0,0.182,0.184,-1
1.0,-0.79,1.0,1.0,1.0,-1.0,0.0,-0.32,1.0,-1.0,1.0,-1.0,5.834,0.011,-1
1.0,-0.91,1.0,1.0,1.0,-1.0,0.0,-0.32,1.0,-1.0,1.0,-1.0,5.834,0.011,-1
1.0,-1.22,1.0,-1.0,1.0,-1.0,0.0,0.0,1.0,-1.0,1.0,-1.0,1.576,0.252,-1
1.0,-0.86,1.0,1.0,1.0,1.0,-1.0,-0.32,1.0,1.0,1.0,-1.0,4.306,0.078,-1
1.0,-0.24,1.0,1.0,1.0,-1.0,0.0,-0.32,1.0,1.0,1.0,-1.0,0.055,0.31,-1
1.0,-0.2,1.0,1.0,1.0,1.0,0.0,-0.39,1.0,-1.0,1.0,-1.0,0.18,0.365,-1
1.0,-0.49,1.0,1.0,1.0,1.0,0.0,-0.48,1.0,-1.0,1.0,-1.0,2.74,0.182,-1
1.0,-0.51,1.0,1.0,1.0,1.0,0.0,-0.48,1.0,-1.0,1.0,-1.0,1.385,0.441,-1
1.0,-0.46,1.0,1.0,1.0,1.0,0.0,-0.48,1.0,-1.0,1.0,-1.0,3.269,0.019,-1
1.0,-0.38,1.0,1.0,1.0,1.0,0.0,-2.78,1.0,-1.0,1.0,-1.0,0.18,0.365,-1
1.0,-0.28,1.0,1.0,1.0,1.0,0.0,-2.78,1.0,-1.0,1.0,-1.0,0.18,0.365,-1
1.0,-0.53,1.0,1.0,1.0,1.0,-1.0,-0.48,1.0,1.0,1.0,1.0,8.865,0.633,-1
1.0,-0.35,1.0,1.0,1.0,1.0,0.0,-0.02,1.0,-1.0,1.0,-1.0,0.371,0.359,-1
1.0,-0.8,1.0,1.0,1.0,-1.0,0.0,-0.32,1.0,-1.0,1.0,-1.0,5.834,0.011,-1
1.0,-0.92,1.0,1.0,1.0,-1.0,0.0,-0.32,1.0,-1.0,1.0,-1.0,5.834,0.011,-1
1.0,-0.99,1.0,1.0,1.0,1.0,0.0,-0.48,1.0,-1.0,1.0,-1.0,0.18,0.365,-1
1.0,-1.23,1.0,-1.0,1.0,-1.0,0.0,0.0,1.0,-1.0,1.0,-1.0,1.576,0.252,-1
1.0,-2.56,1.0,1.0,1.0,1.0,0.0,-0.48,1.0,-1.0,-1.0,-1.0,2.135,0.057,-1
1.0,-0.87,1.0,1.0,1.0,1.0,0.0,-0.48,1.0,-1.0,1.0,-1.0,0.175,0.191,-1
1.0,-0.56,1.0,1.0,1.0,1.0,0.0,0.0,1.0,-1.0,1.0,-1.0,2.012,0.207,-1
1.0,-0.71,1.0,1.0,1.0,1.0,-1.0,-0.48,1.0,-1.0,1.0,-1.0,1.223,0.238,-1
1.0,-1.23,1.0,-1.0,1.0,-1.0,0.0,0.0,1.0,-1.0,1.0,-1.0,1.576,0.252,-1
-1.0,-0.83,1.0,1.0,1.0,1.0,0.0,0.0,1.0,-1.0,1.0,-1.0,0.18,0.365,-1
-1.0,-0.86,1.0,1.0,1.0,1.0,0.0,0.0,1.0,-1.0,1.0,-1.0,0.18,0.365,-1
1.0,-0.7,1.0,1.0,1.0,1.0,-1.0,-0.48,1.0,-1.0,1.0,-1.0,1.223,0.238,-1
1.0,-1.15,1.0,1.0,1.0,1.0,0.0,-0.48,1.0,-1.0,1.0,-1.0,1.35,0.111,-1
1.0,-0.85,1.0,1.0,1.0,1.0,0.0,-0.48,1.0,-1.0,1.0,-1.0,1.35,0.111,-1
1.0,-2.74,1.0,1.0,1.0,1.0,-1.0,-0.32,1.0,-1.0,1.0,-1.0,2.556,0.001,-1
1.0,-2.74,1.0,1.0,1.0,1.0,-1.0,-0.32,1.0,-1.0,1.0,-1.0,2.556,0.001,-1
1.0,-2.74,1.0,1.0,1.0,1.0,-1.0,-0.32,1.0,-1.0,1.0,-1.0,2.556,0.001,-1
1.0,-2.74,1.0,1.0,1.0,1.0,-1.0,-0.32,1.0,-1.0,1.0,-1.0,2.556,0.001,-1
1.0,-2.74,1.0,1.0,1.0,1.0,-1.0,-0.32,1.0,-1.0,1.0,-1.0,2.556,0.001,-1
1.0,-2.74,1.0,1.0,1.0,1.0,-1.0,-0.32,1.0,-1.0,1.0,-1.0,2.556,0.001,-1
1.0,-2.74,1.0,1.0,1.0,1.0,-1.0,-0.32,1.0,-1.0,1.0,-1.0,2.556,0.001,-1
1.0,-2.74,1.0,1.0,1.0,1.0,-1.0,-0.32,1.0,-1.0,1.0,-1.0,2.556,0.001,-1
1.0,-2.74,1.0,1.0,1.0,1.0,-1.0,-0.32,1.0,-1.0,1.0,-1.0,2.556,0.001,-1
1.0,-0.55,1.0,1.0,1.0,1.0,-1.0,-0.48,1.0,1.0,1.0,1.0,8.865,0.633,-1
1.0,-0.61,1.0,1.0,1.0,1.0,-1.0,-0.48,1.0,1.0,1.0,1.0,8.865,0.633,-1
1.0,-0.54,1.0,1.0,1.0,1.0,-1.0,-0.48,1.0,1.0,1.0,1.0,8.865,0.633,-1
1.0,-0.79,1.0,1.0,1.0,1.0,0.0,-0.48,1.0,-1.0,1.0,1.0,0.182,0.184,-1
1.0,-0.6,1.0,1.0,1.0,1.0,-1.0,-0.48,1.0,1.0,1.0,1.0,8.865,0.633,-1
1.0,-0.4,1.0,1.0,1.0,1.0,-1.0,-0.48,1.0,1.0,1.0,1.0,1.464,0.727,-1
